"","regCodeExt","tumorType","metaCondition","condition","conditionCode","context","contextCode","regName","continuous","noCycles_Original","regString","shortString"
"669","10.4.365.3","Solid Tumor","Dermatologic Oncology ","Melanoma",10,"Adjuvant therapy",4,"Dacarbazine monotherapy",TRUE,"Cont.","24.Dacarbazine;1.Dacarbazine;1.Dacarbazine;1.Dacarbazine;1.Dacarbazine;24.Dacarbazine;1.Dacarbazine;1.Dacarbazine;1.Dacarbazine;1.Dacarbazine;","24.Dacarbazine;1.Dacarbazine;1.Dacarbazine;1.Dacarbazine;1.Dacarbazine;"
"670","10.4.365.4","Solid Tumor","Dermatologic Oncology ","Melanoma",10,"Adjuvant therapy",4,"Dacarbazine monotherapy",TRUE,"Cont.","17.Dacarbazine;1.Dacarbazine;1.Dacarbazine;1.Dacarbazine;1.Dacarbazine;17.Dacarbazine;1.Dacarbazine;1.Dacarbazine;1.Dacarbazine;1.Dacarbazine;","17.Dacarbazine;1.Dacarbazine;1.Dacarbazine;1.Dacarbazine;1.Dacarbazine;"
"671","10.4.366.1","Solid Tumor","Dermatologic Oncology ","Melanoma",10,"Adjuvant therapy",4,"Dacarbazine & Ipilimumab",NA,NA,"0.Dacarbazine;0.Ipilimumab;21.Dacarbazine;0.Ipilimumab;21.Dacarbazine;0.Ipilimumab;21.Dacarbazine;0.Ipilimumab;21.Dacarbazine;21.Dacarbazine;21.Dacarbazine;21.Dacarbazine;","0.Dacarbazine;0.Ipilimumab;21.Dacarbazine;0.Ipilimumab;21.Dacarbazine;0.Ipilimumab;21.Dacarbazine;0.Ipilimumab;21.Dacarbazine;21.Dacarbazine;21.Dacarbazine;21.Dacarbazine;"
"673","10.4.366.2","Solid Tumor","Dermatologic Oncology ","Melanoma",10,"Adjuvant therapy",4,"Dacarbazine & Ipilimumab",TRUE,"Cont.","84.Ipilimumab;84.Ipilimumab;","84.Ipilimumab;84.Ipilimumab;"
"674","10.4.367.1","Solid Tumor","Dermatologic Oncology ","Melanoma",10,"Adjuvant therapy",4,"Fotemustine monotherapy",FALSE,"3","42.Fotemustine;7.Fotemustine;7.Fotemustine;42.Fotemustine;7.Fotemustine;7.Fotemustine;","42.Fotemustine;7.Fotemustine;7.Fotemustine;"
"675","10.4.367.2","Solid Tumor","Dermatologic Oncology ","Melanoma",10,"Adjuvant therapy",4,"Fotemustine monotherapy",TRUE,"Cont.","21.Fotemustine;21.Fotemustine;","21.Fotemustine;21.Fotemustine;"
"676","10.4.368.1","Solid Tumor","Dermatologic Oncology ","Melanoma",10,"Adjuvant therapy",4,"Ipilimumab monotherapy",FALSE,"4","21.Ipilimumab;21.Ipilimumab;","21.Ipilimumab;21.Ipilimumab;"
"677","10.4.369.1","Solid Tumor","Dermatologic Oncology ","Melanoma",10,"Adjuvant therapy",4,"Ipilimumab & Nivolumab",NA,NA,"0.Ipilimumab;0.Nivolumab;21.Ipilimumab;0.Nivolumab;21.Ipilimumab;0.Nivolumab;21.Ipilimumab;0.Nivolumab;","0.Ipilimumab;0.Nivolumab;21.Ipilimumab;0.Nivolumab;21.Ipilimumab;0.Nivolumab;21.Ipilimumab;0.Nivolumab;"
"679","10.4.369.2","Solid Tumor","Dermatologic Oncology ","Melanoma",10,"Adjuvant therapy",4,"Ipilimumab & Nivolumab",TRUE,"Cont.","14.Ipilimumab;0.Nivolumab;14.Ipilimumab;0.Nivolumab;","14.Ipilimumab;0.Nivolumab;"
"681","10.4.369.3","Solid Tumor","Dermatologic Oncology ","Melanoma",10,"Adjuvant therapy",4,"Ipilimumab & Nivolumab",TRUE,"Cont.","21.Nivolumab;21.Nivolumab;","21.Nivolumab;21.Nivolumab;"
"682","10.4.379.1","Solid Tumor","Dermatologic Oncology ","Melanoma",10,"Adjuvant therapy",4,"Ipilimumab & Nivolumab",FALSE,"8","21.Ipilimumab;21.Ipilimumab;","21.Ipilimumab;21.Ipilimumab;"
"683","10.98.357.1","Solid Tumor","Dermatologic Oncology ","Melanoma",10,"Local therapy",98,"Talimogene laherparepvec monotherapy",TRUE,"Cont.","21.Talimogenelaherparepvec;21.Talimogenelaherparepvec;","21.Talimogenelaherparepvec;21.Talimogenelaherparepvec;"
"684","10.98.357.2","Solid Tumor","Dermatologic Oncology ","Melanoma",10,"Local therapy",98,"Talimogene laherparepvec monotherapy",TRUE,"Cont.","14.Talimogenelaherparepvec;14.Talimogenelaherparepvec;","14.Talimogenelaherparepvec;14.Talimogenelaherparepvec;"
"685","10.98.363.1","Solid Tumor","Dermatologic Oncology ","Melanoma",10,"Local therapy",98,"Cisplatin, Dacarbazine, Paclitaxel",TRUE,"Cont.","14.Dacarbazine;0.Paclitaxel;7.Paclitaxel;14.Dacarbazine;0.Paclitaxel;7.Paclitaxel;","14.Dacarbazine;0.Paclitaxel;7.Paclitaxel;"
"687","10.98.364.1","Solid Tumor","Dermatologic Oncology ","Melanoma",10,"Local therapy",98,"CVD (Vindesine)",TRUE,"Cont.","19.Cisplatin;0.Dacarbazine;0.Vindesine;1.Cisplatin;0.Dacarbazine;1.Cisplatin;0.Dacarbazine;19.Cisplatin;0.Dacarbazine;0.Vindesine;1.Cisplatin;0.Dacarbazine;1.Cisplatin;0.Dacarbazine;","19.Cisplatin;0.Dacarbazine;0.Vindesine;1.Cisplatin;0.Dacarbazine;1.Cisplatin;0.Dacarbazine;"
"690","10.98.365.1","Solid Tumor","Dermatologic Oncology ","Melanoma",10,"Local therapy",98,"Dacarbazine monotherapy",TRUE,"Cont.","21.Dacarbazine;21.Dacarbazine;","21.Dacarbazine;21.Dacarbazine;"
"691","10.98.365.2","Solid Tumor","Dermatologic Oncology ","Melanoma",10,"Local therapy",98,"Dacarbazine monotherapy",TRUE,"Cont.","28.Dacarbazine;28.Dacarbazine;","28.Dacarbazine;28.Dacarbazine;"
"692","100.124.1412.1","Solid Tumor","Thoraic Oncology","Non-small cell lung cancer, MET-mutated",100,"Metastatic disease, all lines of therapy",124,"Capmatinib monotherapy",TRUE,"Cont.","1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;","1.Capmatinib;1.Capmatinib;"
"693","100.124.1413.1","Solid Tumor","Thoraic Oncology","Non-small cell lung cancer, MET-mutated",100,"Metastatic disease, all lines of therapy",124,"Tepotinib monotherapy",TRUE,"Cont.","1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;","1.Tepotinib;1.Tepotinib;"
"694","101.124.1414.1","Solid Tumor","Thoraic Oncology","Non-small cell lung cancer, RET-positive",101,"Metastatic disease, all lines of therapy",124,"Pralsetinib monotherapy",TRUE,"Cont.","1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;","1.Pralsetinib;1.Pralsetinib;"
"695","101.124.1415.1","Solid Tumor","Thoraic Oncology","Non-small cell lung cancer, RET-positive",101,"Metastatic disease, all lines of therapy",124,"Selpercatinib monotherapy",TRUE,"Cont.","1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;","1.Selpercatinib;1.Selpercatinib;"
"696","102.124.1416.1","Solid Tumor","Thoraic Oncology","Non-small cell lung cancer, ROS1-positive",102,"Metastatic disease, all lines of therapy",124,"Entrectinib monotherapy",TRUE,"Cont.","1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;","1.Entrectinib;1.Entrectinib;"
"697","102.30.1418.1","Solid Tumor","Thoraic Oncology","Non-small cell lung cancer, CNS metastases",102,"ALK-mutated, all lines of therapy",30,"Cisplatin, Gefitinib, Pemetrexed",TRUE,"Cont.","1.Cisplatin;0.Gefitinib;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Cisplatin;0.Gefitinib;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;","1.Cisplatin;0.Gefitinib;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;"
"700","102.30.1419.1","Solid Tumor","Thoraic Oncology","Non-small cell lung cancer, CNS metastases",102,"ALK-mutated, all lines of therapy",30,"Gefitinib, Nedaplatin, Pemetrexed",TRUE,"Cont.","1.Gefitinib;0.Nedaplatin;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;0.Nedaplatin;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;","1.Gefitinib;0.Nedaplatin;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;"
"703","102.31.1417.1","Solid Tumor","Thoraic Oncology","Non-small cell lung cancer, CNS metastases",102,"All lines of therapy",31,"Teniposide & WBRT",TRUE,"Cont.","14.Teniposide;14.Teniposide;","14.Teniposide;14.Teniposide;"
"704","103.173.1437.1","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Relapsed or refractory disease, second-line",173,"Cisplatin, Etoposide, Irinotecan",FALSE,"5","7.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;5.Carboplatin;0.Irinotecan;7.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;5.Carboplatin;0.Irinotecan;","7.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;5.Carboplatin;0.Irinotecan;"
"707","103.173.1438.1","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Relapsed or refractory disease, second-line",173,"Lurbinectedin monotherapy",TRUE,"Cont.","21.Lurbinectedin;21.Lurbinectedin;","21.Lurbinectedin;21.Lurbinectedin;"
"708","103.174.1439.1","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Relapsed or refractory disease, subsequent lines",174,"Bendamustine monotherapy",TRUE,"Cont.","20.Bendamustine;1.Bendamustine;20.Bendamustine;1.Bendamustine;","20.Bendamustine;1.Bendamustine;"
"709","103.174.1440.1","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Relapsed or refractory disease, subsequent lines",174,"CAV",TRUE,"Cont.","21.Cyclophosphamide;0.Doxorubicin;0.Vincristine;21.Cyclophosphamide;0.Doxorubicin;0.Vincristine;","21.Cyclophosphamide;0.Doxorubicin;0.Vincristine;"
"712","103.174.1441.1","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Relapsed or refractory disease, subsequent lines",174,"Epirubicin & Ifosfamide",TRUE,"Cont.","27.Epirubicin;0.Ifosfamide;1.Ifosfamide;27.Epirubicin;0.Ifosfamide;1.Ifosfamide;","27.Epirubicin;0.Ifosfamide;1.Ifosfamide;"
"714","103.174.1442.1","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Relapsed or refractory disease, subsequent lines",174,"Etoposide monotherapy",TRUE,"Cont.","1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;","1.Etoposide;1.Etoposide;"
"715","103.174.1443.1","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Relapsed or refractory disease, subsequent lines",174,"Ifosfamide monotherapy",TRUE,"Cont.","21.Ifosfamide;21.Ifosfamide;","21.Ifosfamide;21.Ifosfamide;"
"716","103.174.1444.1","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Relapsed or refractory disease, subsequent lines",174,"Ifosfamide & Paclitaxel",TRUE,"Cont.","20.Ifosfamide;0.Paclitaxel;1.Ifosfamide;20.Ifosfamide;0.Paclitaxel;1.Ifosfamide;","20.Ifosfamide;0.Paclitaxel;1.Ifosfamide;"
"718","103.174.1445.1","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Relapsed or refractory disease, subsequent lines",174,"Irinotecan monotherapy",TRUE,"Cont.","7.Irinotecan;7.Irinotecan;7.Irinotecan;7.Irinotecan;7.Irinotecan;7.Irinotecan;","7.Irinotecan;7.Irinotecan;"
"719","103.174.1445.2","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Relapsed or refractory disease, subsequent lines",174,"Irinotecan monotherapy",TRUE,"Cont.","21.Irinotecan;21.Irinotecan;","21.Irinotecan;21.Irinotecan;"
"720","103.174.1446.1","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Relapsed or refractory disease, subsequent lines",174,"Paclitaxel monotherapy",TRUE,"Cont.","21.Paclitaxel;21.Paclitaxel;","21.Paclitaxel;21.Paclitaxel;"
"721","103.174.1446.2","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Relapsed or refractory disease, subsequent lines",174,"Paclitaxel monotherapy",TRUE,"Cont.","21.Paclitaxel;7.Paclitaxel;7.Paclitaxel;7.Paclitaxel;7.Paclitaxel;7.Paclitaxel;21.Paclitaxel;7.Paclitaxel;7.Paclitaxel;7.Paclitaxel;7.Paclitaxel;7.Paclitaxel;","21.Paclitaxel;7.Paclitaxel;7.Paclitaxel;7.Paclitaxel;7.Paclitaxel;7.Paclitaxel;"
"722","103.174.1447.1","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Relapsed or refractory disease, subsequent lines",174,"Temozolomide monotherapy",TRUE,"Cont.","8.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;8.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;","8.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;"
"723","103.174.1447.2","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Relapsed or refractory disease, subsequent lines",174,"Temozolomide monotherapy",TRUE,"Cont.","24.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;24.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;","24.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;"
"724","103.174.1448.1","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Relapsed or refractory disease, subsequent lines",174,"Topotecan monotherapy",TRUE,"Cont.","17.Topotecan;1.Topotecan;1.Topotecan;1.Topotecan;1.Topotecan;17.Topotecan;1.Topotecan;1.Topotecan;1.Topotecan;1.Topotecan;","17.Topotecan;1.Topotecan;1.Topotecan;1.Topotecan;1.Topotecan;"
"725","103.174.1449.1","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Relapsed or refractory disease, subsequent lines",174,"Vinorelbine monotherapy",TRUE,"Cont.","7.Vinorelbine;7.Vinorelbine;7.Vinorelbine;7.Vinorelbine;7.Vinorelbine;7.Vinorelbine;","7.Vinorelbine;7.Vinorelbine;"
"726","103.61.1422.1","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Extensive stage, induction",61,"Belotecan & Cisplatin",TRUE,"Cont.","18.Belotecan;0.Cisplatin;1.Belotecan;1.Belotecan;1.Belotecan;18.Belotecan;0.Cisplatin;1.Belotecan;1.Belotecan;1.Belotecan;","18.Belotecan;0.Cisplatin;1.Belotecan;1.Belotecan;1.Belotecan;"
"728","103.61.1423.1","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Extensive stage, induction",61,"Carboplatin & Etoposide (CE)",TRUE,"Cont.","17.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;17.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;","17.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;"
"730","103.61.1424.1","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Extensive stage, induction",61,"Carboplatin & Etoposide (CE) & Atezolizumab",TRUE,"Cont.","19.Atezolizumab;0.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;19.Atezolizumab;0.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;","19.Atezolizumab;0.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;"
"733","103.61.1425.1","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Extensive stage, induction",61,"Carboplatin & Etoposide (CE) & Bevacizumab",FALSE,"4","19.Bevacizumab;0.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;19.Bevacizumab;0.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;","19.Bevacizumab;0.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;"
"736","103.61.1426.1","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Extensive stage, induction",61,"Carboplatin & Etoposide (CE) & Durvalumab",FALSE,"4","19.Carboplatin;0.Durvalumab;0.Etoposide;1.Etoposide;1.Etoposide;19.Carboplatin;0.Durvalumab;0.Etoposide;1.Etoposide;1.Etoposide;","19.Carboplatin;0.Durvalumab;0.Etoposide;1.Etoposide;1.Etoposide;"
"739","103.61.1426.2","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Extensive stage, induction",61,"Carboplatin & Etoposide (CE) & Durvalumab",TRUE,"Cont.","26.Carboplatin;0.Durvalumab;0.Etoposide;1.Etoposide;1.Etoposide;26.Carboplatin;0.Durvalumab;0.Etoposide;1.Etoposide;1.Etoposide;","26.Carboplatin;0.Durvalumab;0.Etoposide;1.Etoposide;1.Etoposide;"
"742","103.61.1427.1","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Extensive stage, induction",61,"Carboplatin & Etoposide (CE) & Serplulimab",TRUE,"Cont.","19.Carboplatin;0.Etoposide;0.Serplulimab;1.Etoposide;1.Etoposide;19.Carboplatin;0.Etoposide;0.Serplulimab;1.Etoposide;1.Etoposide;","19.Carboplatin;0.Etoposide;0.Serplulimab;1.Etoposide;1.Etoposide;"
"745","103.61.1428.1","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Extensive stage, induction",61,"Carboplatin & Irinotecan",FALSE,"4","21.Carboplatin;0.Irinotecan;21.Carboplatin;0.Irinotecan;","21.Carboplatin;0.Irinotecan;"
"747","103.61.1428.2","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Extensive stage, induction",61,"Carboplatin & Irinotecan",TRUE,"Cont.","14.Carboplatin;0.Irinotecan;7.Irinotecan;7.Irinotecan;14.Carboplatin;0.Irinotecan;7.Irinotecan;7.Irinotecan;","14.Carboplatin;0.Irinotecan;7.Irinotecan;7.Irinotecan;"
"749","103.61.1429.1","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Extensive stage, induction",61,"Cisplatin & Etoposide (EP)",TRUE,"Cont.","26.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;26.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;","26.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;"
"751","103.61.1429.2","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Extensive stage, induction",61,"Cisplatin & Etoposide (EP)",TRUE,"Cont.","18.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Etoposide;18.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Etoposide;","18.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Etoposide;"
"753","103.61.1429.3","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Extensive stage, induction",61,"Cisplatin & Etoposide (EP)",FALSE,"4","18.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;18.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;","18.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;"
"755","103.61.1429.4","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Extensive stage, induction",61,"Cisplatin & Etoposide (EP)",FALSE,"6","19.Etoposide;1.Cisplatin;0.Etoposide;1.Etoposide;19.Etoposide;1.Cisplatin;0.Etoposide;1.Etoposide;","19.Etoposide;1.Cisplatin;0.Etoposide;1.Etoposide;"
"757","103.61.1429.5","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Extensive stage, induction",61,"Cisplatin & Etoposide (EP)",FALSE,"4","17.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;17.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;","17.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;"
"759","103.61.1430.1","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Extensive stage, induction",61,"Cisplatin & Etoposide (EP) & Bevacizumab",TRUE,"Cont.","19.Bevacizumab;0.Cisplatin;0.Etoposide;1.Etoposide;1.Etoposide;19.Bevacizumab;0.Cisplatin;0.Etoposide;1.Etoposide;1.Etoposide;","19.Bevacizumab;0.Cisplatin;0.Etoposide;1.Etoposide;1.Etoposide;"
"762","103.61.1431.1","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Extensive stage, induction",61,"Cisplatin & Etoposide (EP) & Durvalumab",TRUE,"Cont.","19.Cisplatin;0.Durvalumab;0.Etoposide;1.Etoposide;1.Etoposide;19.Cisplatin;0.Durvalumab;0.Etoposide;1.Etoposide;1.Etoposide;","19.Cisplatin;0.Durvalumab;0.Etoposide;1.Etoposide;1.Etoposide;"
"765","103.61.1431.2","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Extensive stage, induction",61,"Cisplatin & Etoposide (EP) & Durvalumab",TRUE,"Cont.","26.Cisplatin;0.Durvalumab;0.Etoposide;1.Etoposide;1.Etoposide;26.Cisplatin;0.Durvalumab;0.Etoposide;1.Etoposide;1.Etoposide;","26.Cisplatin;0.Durvalumab;0.Etoposide;1.Etoposide;1.Etoposide;"
"768","103.61.1432.1","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Extensive stage, induction",61,"Cisplatin & Irinotecan (IC)",TRUE,"Cont.","14.Cisplatin;0.Irinotecan;7.Cisplatin;0.Irinotecan;14.Cisplatin;0.Irinotecan;7.Cisplatin;0.Irinotecan;","14.Cisplatin;0.Irinotecan;7.Cisplatin;0.Irinotecan;"
"770","103.61.1432.2","Solid Tumor","Thoraic Oncology","Small cell lung cancer",103,"Extensive stage, induction",61,"Cisplatin & Irinotecan (IC)",TRUE,"Cont.","14.Cisplatin;0.Irinotecan;7.Irinotecan;14.Cisplatin;0.Irinotecan;7.Irinotecan;","14.Cisplatin;0.Irinotecan;7.Irinotecan;"
