"","regCode","study","study_code","regimen","regimen_code","variant","var_code","context","context_code"
"1008","3636.62019.1.1874","SOPHIA",3636,"Vinorelbine and Margetuximab","62019","normal",1,"Non-curative subsequent-line therapy","1874"
"1009","3160.75413.1.1874","PRECIOUS",3160,"VHP","75413","normal",1,"Non-curative subsequent-line therapy","1874"
"1010","3639.6945.191.1874","SOPHIA|PRECIOUS|SOPHIA",3639,"Vinorelbine and Trastuzumab (VH)","6945","Regimen variant #1 2 out of 3 weeks",191,"Non-curative subsequent-line therapy","1874"
"1011","3640.6945.930.1874","SOPHIA|SOPHIA",3640,"Vinorelbine and Trastuzumab (VH)","6945","Regimen variant #2 2 out of 3 weeks",930,"Non-curative subsequent-line therapy","1874"
"1012","412.6945.1800.1874","BOLERO-3|LUX-Breast 1",412,"Vinorelbine and Trastuzumab (VH)","6945","Regimen variant #3 weekly",1800,"Non-curative subsequent-line therapy","1874"
"1013","411.19108.1.1874","BOLERO-3",411,"Vinorelbine and Trastuzumab (VH) and Everolimus","19108","normal",1,"Non-curative subsequent-line therapy","1874"
"1014","3104.9731.1.1874","PHEREXA|PRECIOUS",3104,"XHP","9731","normal",1,"Non-curative subsequent-line therapy","1874"
"1015","757.9691.1.2648","CLEOPATRA",757,"Pertuzumab and Trastuzumab","9691","normal",1,"Non-curative therapy","2648"
"1016","2771.6132.664.2648","NCCTG 983252|BCIRG 007|CLEOPATRA|NCIC-CTG MA.31|NCCTG 983252",2771,"Trastuzumab monotherapy","6132","Regimen variant #1 q3wk dosing",664,"Non-curative therapy","2648"
"1017","2773.6132.1444.2648","NCCTG 983252|Robert et al. 2006|M77001|NCCTG 983252",2773,"Trastuzumab monotherapy","6132","Regimen variant #2 weekly dosing",1444,"Non-curative therapy","2648"
"1018","3621.10413.1.2648","SOLAR-1",3621,"Alpelisib and Fulvestrant","10413","normal",1,"Non-curative therapy","2648"
"1019","3622.8935.1.2648","SOLAR-1|SANDPIPER",3622,"Fulvestrant monotherapy","8935","normal",1,"Non-curative therapy","2648"
"1020","2020.5706.1.2648","IPATunity130",2020,"Paclitaxel monotherapy","5706","normal",1,"Non-curative therapy","2648"
"1021","1887.5770.1.5250","I-SPY 2|KEYNOTE-522",1887,"Cyclophosphamide and Doxorubicin (AC)","5770","normal",1,"Neoadjuvant therapy","5250"
"1022","547.5887.1.5250","CALGB 40603|I-SPY 2",547,"Dose-dense Cyclophosphamide and Doxorubicin (ddAC)","5887","normal",1,"Neoadjuvant therapy","5250"
"1023","1969.18685.1.5250","IMpassion031",1969,"ddAC and Atezolizumab","18685","normal",1,"Neoadjuvant therapy","5250"
"1024","2235.2975.1.5250","KEYNOTE-522",2235,"AC and Pembrolizumab","2975","normal",1,"Neoadjuvant therapy","5250"
"1025","1690.2538.1.5250","GOMHGUGM022011|PROGECT",1690,"Carboplatin and Docetaxel","2538","normal",1,"Neoadjuvant therapy","5250"
"1026","3048.2554.369.5250","PARTNER",3048,"Carboplatin and Paclitaxel (CP)","2554","Regimen variant #1 5/80",369,"Neoadjuvant therapy","5250"
"1027","546.2554.1158.5250","CALGB 40603|BrighTNess",546,"Carboplatin and Paclitaxel (CP)","2554","Regimen variant #2 6/80",1158,"Neoadjuvant therapy","5250"
"1028","2236.30172.661.5250","KEYNOTE-522|KEYNOTE-522",2236,"Carboplatin and Paclitaxel (CP) and Pembrolizumab","30172","Regimen variant #1 q3wk carboplatin",661,"Neoadjuvant therapy","5250"
"1029","2236.30172.1441.5250","KEYNOTE-522|KEYNOTE-522",2236,"Carboplatin and Paclitaxel (CP) and Pembrolizumab","30172","Regimen variant #2 weekly carboplatin",1441,"Neoadjuvant therapy","5250"
"1030","4119.9810.1.5250","WSG-ADAPT-TN",4119,"Carboplatin and nab-Paclitaxel","9810","normal",1,"Neoadjuvant therapy","5250"
"1031","967.2561.1.5250","DFCI 04-183",967,"Cisplatin monotherapy","2561","normal",1,"Neoadjuvant therapy","5250"
"1032","1541.5886.1.5250","GeparQuinto",1541,"Docetaxel and Bevacizumab","5886","normal",1,"Neoadjuvant therapy","5250"
"1033","2235.5924.1.5250","KEYNOTE-522",2235,"Cyclophosphamide and Epirubicin (EC)","5924","normal",1,"Neoadjuvant therapy","5250"
"1034","1541.7533.1.5250","GeparQuinto",1541,"Cyclophosphamide and Epirubicin (EC) and Bevacizumab","7533","normal",1,"Neoadjuvant therapy","5250"
"1035","2235.7628.1.5250","KEYNOTE-522",2235,"Cyclophosphamide and Epirubicin (EC) and Pembrolizumab","7628","normal",1,"Neoadjuvant therapy","5250"
"1036","1969.9908.1.5250","IMpassion031",1969,"nab-Paclitaxel and Atezolizumab","9908","normal",1,"Neoadjuvant therapy","5250"
"1037","548.5706.1.5250","CALGB 40603|I-SPY 2|BrighTNess",548,"Paclitaxel monotherapy","5706","normal",1,"Neoadjuvant therapy","5250"
"1038","638.28393.1.2618","CBCSG010",638,"D-FEC","28393","normal",1,"Adjuvant therapy","2618"
"1039","638.19199.1.2618","CBCSG010",638,"TX-CEX","19199","normal",1,"Adjuvant therapy","2618"
"1040","128.64402.1.2618","ALEXANDRA",128,"T-AC","64402","normal",1,"Adjuvant therapy","2618"
"1041","128.64403.1.2618","ALEXANDRA",128,"T-EC","64403","normal",1,"Adjuvant therapy","2618"
"1042","2912.5770.1.2618","NSABP B-15|TITAN - breast",2912,"Cyclophosphamide and Doxorubicin (AC)","5770","normal",1,"Adjuvant therapy","2618"
"1043","3802.6323.147.2618","SYSUCC-001",3802,"Capecitabine monotherapy","6323","Regimen variant #1 1300 mg/m2/day",147,"Adjuvant therapy","2618"
"1044","1055.6323.961.2618","ECOG-ACRIN EA1131",1055,"Capecitabine monotherapy","6323","Regimen variant #2 2000 mg/m2/day x 6",961,"Adjuvant therapy","2618"
"1045","1519.6323.1568.2618","GEICAM/2003-11; CIBOMA/2004-01",1519,"Capecitabine monotherapy","6323","Regimen variant #3 2000 mg/m2/day x 8",1568,"Adjuvant therapy","2618"
"1046","871.6323.1877.2618","CREATE-X",871,"Capecitabine monotherapy","6323","Regimen variant #4 2500 mg/m2/day",1877,"Adjuvant therapy","2618"
"1047","3052.2554.1.2618","PATTERN",3052,"Carboplatin and Paclitaxel (CP)","2554","normal",1,"Adjuvant therapy","2618"
"1048","43.6134.127.2618","ABCSG 3",43,"CMF","6134","Regimen variant #1 1000/50/2000",127,"Adjuvant therapy","2618"
"1049","2911.6134.891.2618","NSABP B-15",2911,"CMF","6134","Regimen variant #2 1400/80/1200",891,"Adjuvant therapy","2618"
"1050","2235.3199.1.2618","KEYNOTE-522",2235,"Pembrolizumab monotherapy","3199","normal",1,"Adjuvant therapy","2618"
"1051","3862.5458.1.3175","TCD11485|EFC11486|KEYNOTE-355",3862,"Carboplatin and Gemcitabine (GCb)","5458","normal",1,"Non-curative first-line therapy","3175"
"1052","2229.33026.1.3175","KEYNOTE-355",2229,"Carboplatin and Gemcitabine (GCb) and Pembrolizumab","33026","normal",1,"Non-curative first-line therapy","3175"
"1053","1336.2569.1.3175","Fan et al. 2012",1336,"Cisplatin and Docetaxel (DC)","2569","normal",1,"Non-curative first-line therapy","3175"
"1054","637.2570.1.3175","CBCSG006",637,"Cisplatin and Gemcitabine (GC)","2570","normal",1,"Non-curative first-line therapy","3175"
"1055","3901.5645.1.3175","TNT",3901,"Docetaxel monotherapy","5645","normal",1,"Non-curative first-line therapy","3175"
"1056","1101.5993.1.3175","ECOG E3185",1101,"FAC","5993","normal",1,"Non-curative first-line therapy","3175"
"1057","2417.5706.506.3175","LOTUS",2417,"Paclitaxel monotherapy","5706","Regimen variant #1 80 mg/m2",506,"Non-curative first-line therapy","3175"
"1058","2230.5706.1264.3175","KEYNOTE-355|IMpassion131",2230,"Paclitaxel monotherapy","5706","Regimen variant #2 90 mg/m2",1264,"Non-curative first-line therapy","3175"
"1059","2229.61056.1.3175","KEYNOTE-355",2229,"Paclitaxel and Pembrolizumab","61056","normal",1,"Non-curative first-line therapy","3175"
"1060","1971.9900.1.3175","IMpassion130|KEYNOTE-355",1971,"nab-Paclitaxel monotherapy","9900","normal",1,"Non-curative first-line therapy","3175"
"1061","1970.9908.1.3175","IMpassion130",1970,"nab-Paclitaxel and Atezolizumab","9908","normal",1,"Non-curative first-line therapy","3175"
"1062","2229.60940.1.3175","KEYNOTE-355",2229,"nab-Paclitaxel and Pembrolizumab","60940","normal",1,"Non-curative first-line therapy","3175"
"1063","506.6323.220.1874","CA163-046|CA163-048|KEYNOTE-119|ASCENT|ASCENT",506,"Capecitabine monotherapy","6323","Regimen variant #1 2000 mg/m2/day",220,"Non-curative subsequent-line therapy","1874"
"1064","244.6323.981.1874","ASCENT|ASCENT",244,"Capecitabine monotherapy","6323","Regimen variant #2 2500 mg/m2/day",981,"Non-curative subsequent-line therapy","1874"
"1065","505.8085.1.1874","CA163-046|CA163-048",505,"Capecitabine and Ixabepilone","8085","normal",1,"Non-curative subsequent-line therapy","1874"
"1066","1141.5458.1.1874","EFC11486",1141,"Carboplatin and Gemcitabine (GCb)","5458","normal",1,"Non-curative subsequent-line therapy","1874"
"1067","2591.9909.1.1874","MDV3100-11",2591,"Enzalutamide monotherapy","9909","normal",1,"Non-curative subsequent-line therapy","1874"
"1068","244.8190.86.1874","ASCENT|ASCENT",244,"Eribulin monotherapy","8190","Regimen variant #1 1.23 mg/m2",86,"Non-curative subsequent-line therapy","1874"
"1069","245.8190.808.1874","ASCENT|EMBRACE|E7389-G000-301|KEYNOTE-119|ASCENT",245,"Eribulin monotherapy","8190","Regimen variant #2 1.4 mg/m2",808,"Non-curative subsequent-line therapy","1874"
"1070","244.5218.522.1874","ASCENT|ASCENT",244,"Gemcitabine monotherapy","5218","Regimen variant #1 800 mg/m2 3 weeks out of 4",522,"Non-curative subsequent-line therapy","1874"
"1071","2215.5218.840.1874","KEYNOTE-119|KEYNOTE-119",2215,"Gemcitabine monotherapy","5218","Regimen variant #2 1000 mg/m2 3 weeks out of 4",840,"Non-curative subsequent-line therapy","1874"
"1072","244.5218.1524.1874","ASCENT|ASCENT",244,"Gemcitabine monotherapy","5218","Regimen variant #3 1200 mg/m2 3 weeks out of 4",1524,"Non-curative subsequent-line therapy","1874"
"1073","2215.5218.1847.1874","KEYNOTE-119|KEYNOTE-119",2215,"Gemcitabine monotherapy","5218","Regimen variant #4 1250 mg/m2 2 weeks out of 3",1847,"Non-curative subsequent-line therapy","1874"
"1074","1965.13710.1.1874","IMMU-132-01|ASCENT",1965,"Sacituzumab govitecan monotherapy","13710","normal",1,"Non-curative subsequent-line therapy","1874"
"1075","243.6944.238.1874","ASCENT",243,"Vinorelbine monotherapy","6944","Regimen variant #1 25 mg/m2 weekly",238,"Non-curative subsequent-line therapy","1874"
"1076","2216.6944.1009.1874","KEYNOTE-119|KEYNOTE-119|KEYNOTE-119",2216,"Vinorelbine monotherapy","6944","Regimen variant #2 30 mg/m2 weekly",1009,"Non-curative subsequent-line therapy","1874"
"1077","2216.6944.1594.1874","KEYNOTE-119|KEYNOTE-119|KEYNOTE-119",2216,"Vinorelbine monotherapy","6944","Regimen variant #3 30 mg/m2 q3wk",1594,"Non-curative subsequent-line therapy","1874"
"1078","2216.6944.1887.1874","KEYNOTE-119|KEYNOTE-119|KEYNOTE-119",2216,"Vinorelbine monotherapy","6944","Regimen variant #4 30 mg/m2 2 out of 3 weeks",1887,"Non-curative subsequent-line therapy","1874"
"1079","2839.1091.440.5250","NEST",2839,"AC-D","1091","Regimen variant #1 60/600/75",440,"Neoadjuvant therapy","5250"
"1080","2917.1091.1176.5250","NSABP B-27|GeparDuo",2917,"AC-D","1091","Regimen variant #2 60/600/100",1176,"Neoadjuvant therapy","5250"
"1081","3745.47375.359.5250","SWOG 0012",3745,"AC-T","47375","Regimen variant #1 5 x 4",359,"Neoadjuvant therapy","5250"
"1082","2923.55223.1.5250","NSABP B-40",2923,"D-AC","55223","normal",1,"Neoadjuvant therapy","5250"
"1083","2923.56896.1.5250","NSABP B-40",2923,"D-AC plus Bev","56896","normal",1,"Neoadjuvant therapy","5250"
"1084","230.28393.1.5250","ARTemis",230,"D-FEC","28393","normal",1,"Neoadjuvant therapy","5250"
"1085","230.28404.1.5250","ARTemis",230,"D-FEC plus Bev","28404","normal",1,"Neoadjuvant therapy","5250"
"1086","1540.20160.1.5250","GeparQuattro|GeparQuinto",1540,"EC-D","20160","normal",1,"Neoadjuvant therapy","5250"
"1087","3163.29175.1.5250","PREPARE",3163,"EC-T","29175","normal",1,"Neoadjuvant therapy","5250"
"1088","2831.21276.1.5250","Neo-tAnGo",2831,"EC-ddT","21276","normal",1,"Neoadjuvant therapy","5250"
"1089","1542.67884.1.5250","GeparSepto",1542,"nab-Paclitaxel-EC","67884","normal",1,"Neoadjuvant therapy","5250"
"1090","1292.64402.1.5250","ETNA",1292,"T-AC","64402","normal",1,"Neoadjuvant therapy","5250"
"1091","1542.64403.508.5250","GeparSepto",1542,"T-EC","64403","Regimen variant #1 80 mg/m2 paclitaxel",508,"Neoadjuvant therapy","5250"
"1092","1292.64403.1265.5250","ETNA",1292,"T-EC","64403","Regimen variant #2 90 mg/m2 3 out of 4 weeks",1265,"Neoadjuvant therapy","5250"
"1093","2831.16141.1.5250","Neo-tAnGo",2831,"ddT-EC","16141","normal",1,"Neoadjuvant therapy","5250"
"1094","1716.75384.712.5250","Green et al. 2005|Green et al. 2005|Green et al. 2005",1716,"T-FAC","75384","Regimen variant #1 weekly paclitaxel for N0 disease",712,"Neoadjuvant therapy","5250"
"1095","1716.75384.1448.5250","Green et al. 2005|Green et al. 2005|Green et al. 2005",1716,"T-FAC","75384","Regimen variant #2 weekly paclitaxel for N+ disease",1448,"Neoadjuvant therapy","5250"
"1096","1716.75384.1788.5250","Green et al. 2005|Green et al. 2005|Green et al. 2005",1716,"T-FAC","75384","Regimen variant #3 q3wk paclitaxel",1788,"Neoadjuvant therapy","5250"
"1097","2587.73485.520.5250","MDACC ID01-580",2587,"T-FEC","73485","Regimen variant #1 80/500/100/500",520,"Neoadjuvant therapy","5250"
"1098","1292.73485.1270.5250","ETNA",1292,"T-FEC","73485","Regimen variant #2 90/600/90/600",1270,"Neoadjuvant therapy","5250"
"1099","2335.7233.1.5250","Lee et al. 2007",2335,"Capecitabine and Docetaxel (TX)","7233","normal",1,"Neoadjuvant therapy","5250"
"1100","2915.5770.304.5250","NSABP B-18|NSABP B-27|Lee et al. 2007",2915,"Cyclophosphamide and Doxorubicin (AC)","5770","Regimen variant #1 4 cycles",304,"Neoadjuvant therapy","5250"
"1101","3909.5770.1129.5250","TOPIC|TOPIC 2|Evans et al. 2005",3909,"Cyclophosphamide and Doxorubicin (AC)","5770","Regimen variant #2 6 cycles",1129,"Neoadjuvant therapy","5250"
"1102","483.5887.1.5250","Burstein et al. 2005",483,"Dose-dense Cyclophosphamide and Doxorubicin (ddAC)","5887","normal",1,"Neoadjuvant therapy","5250"
"1103","3991.5971.1.5250","UNICANCER PEGASE 07",3991,"DI EC","5971","normal",1,"Neoadjuvant therapy","5250"
"1104","636.5895.254.5250","CBCRT01",636,"Docetaxel and Epirubicin (DE)","5895","Regimen variant #1 3 cycles",254,"Neoadjuvant therapy","5250"
"1105","40.5895.1130.5250","ABCSG-14|Han et al. 2009|ABCSG-24",40,"Docetaxel and Epirubicin (DE)","5895","Regimen variant #2 6 cycles 2",1130,"Neoadjuvant therapy","5250"
"1106","41.5978.1.5250","ABCSG-24",41,"EDC","5978","normal",1,"Neoadjuvant therapy","5250"
"1107","434.6327.1.5250","Bottini et al. 2005",434,"Epirubicin monotherapy","6327","normal",1,"Neoadjuvant therapy","5250"
"1108","3868.5979.1.5250","TECHNO|Frasci et al. 2006",3868,"Epirubicin and Paclitaxel (EP)","5979","normal",1,"Neoadjuvant therapy","5250"
"1109","2582.5993.394.5250","MDACC 91-0156",2582,"FAC","5993","Regimen variant #1 500/50/500",394,"Neoadjuvant therapy","5250"
"1110","318.5993.1183.5250","Baldini et al. 1997",318,"FAC","5993","Regimen variant #2 600/50/600",1183,"Neoadjuvant therapy","5250"
"1111","491.5993.1511.5250","Buzdar et al. 1999",491,"FAC","5993","Regimen variant #3 1000/50/500",1511,"Neoadjuvant therapy","5250"
"1112","3446.5993.1872.5250","S6",3446,"FAC","5993","Regimen variant #4 2000/50/100",1872,"Neoadjuvant therapy","5250"
"1113","319.5925.446.5250","Baldini et al. 2003",319,"FEC","5925","Regimen variant #1 600/60/600 x 3",446,"Neoadjuvant therapy","5250"
"1114","1216.5925.1185.5250","EORTC 10902",1216,"FEC","5925","Regimen variant #2 600/60/600 x 4",1185,"Neoadjuvant therapy","5250"
"1115","1217.5925.1506.5250","EORTC 10921",1217,"FEC","5925","Regimen variant #3 1000/120/1050 x 6",1506,"Neoadjuvant therapy","5250"
"1116","1539.6798.1.5250","GeparOcto",1539,"iddEPC","6798","normal",1,"Neoadjuvant therapy","5250"
"1117","483.5706.1.5250","Burstein et al. 2005",483,"Paclitaxel monotherapy","5706","normal",1,"Neoadjuvant therapy","5250"
"1118","1437.6085.1.5250","Frasci et al. 2006",1437,"PET","6085","normal",1,"Neoadjuvant therapy","5250"
"1119","1543.6086.1.5250","GeparTrio|INTENS",1543,"TAC (Docetaxel)","6086","normal",1,"Neoadjuvant therapy","5250"
"1120","3532.15543.10.2618","SECRAB|SECRAB",3532,"A-CMF","15543","Protocol variant #1 IV classical CMF",10,"Adjuvant therapy","2618"
"1121","3532.15543.30.2618","SECRAB|SECRAB",3532,"A-CMF","15543","Protocol variant #2 PO classical CMF",30,"Adjuvant therapy","2618"
"1122","1892.18601.1.2618","IBCSG 13-93|IBCSG 15-95|BIG 02-98",1892,"AC-CMF","18601","normal",1,"Adjuvant therapy","2618"
"1123","2938.1091.14.2618","NSAS BC-02",2938,"AC-D","1091","Protocol variant #1 q3wk docetaxel 75 mg/m2",14,"Adjuvant therapy","2618"
"1124","1062.1091.32.2618","ECOG E1199|NSABP B-30|BCIRG-005|ECOG E1199",1062,"AC-D","1091","Protocol variant #2 q3wk docetaxel 100 mg/m2",32,"Adjuvant therapy","2618"
"1125","1061.1091.34.2618","ECOG E1199|ECOG E1199",1061,"AC-D","1091","Protocol variant #2 weekly docetaxel",34,"Adjuvant therapy","2618"
"1126","1063.47375.710.2618","ECOG E1199|NSABP B-47|ECOG E1199",1063,"AC-T","47375","Regimen variant #1 weekly paclitaxel",710,"Adjuvant therapy","2618"
"1127","1060.47375.1405.2618","ECOG E1199|CALGB 9741|ECOG E1199|Loesch et al. 2010|NCIC-CTG MA.21|NSAS BC-02",1060,"AC-T","47375","Regimen variant #2 q3wk paclitaxel 175 mg/m2",1405,"Adjuvant therapy","2618"
"1128","2918.47375.1789.2618","NSABP B-28",2918,"AC-T","47375","Regimen variant #3 q3wk paclitaxel 225 mg/m2",1789,"Adjuvant therapy","2618"
"1129","582.48507.13.2618","CALGB 9741",582,"Dose-dense AC-T","48507","Protocol variant #1 q2wk paclitaxel",13,"Adjuvant therapy","2618"
"1130","2925.48507.35.2618","NSABP B-47",2925,"Dose-dense AC-T","48507","Protocol variant #2 weekly paclitaxel",35,"Adjuvant therapy","2618"
"1131","3147.75595.1.2618","Polyzos et al. 2009",3147,"D-EC","75595","normal",1,"Adjuvant therapy","2618"
"1132","1381.28393.1.2618","FinXX",1381,"D-FEC","28393","normal",1,"Adjuvant therapy","2618"
"1133","436.14381.115.2618","BR9601|SECRAB|MINDACT|SECRAB|SECRAB|MINDACT",436,"E-CMF","14381","Regimen variant #1 100/750/50/600",115,"Adjuvant therapy","2618"
"1134","3531.14381.830.2618","SECRAB|NEAT|Boccardo et al. 2010|IRST-IBIS-03|SECRAB|TACT|TACT2|NEAT|SECRAB|TACT2",3531,"E-CMF","14381","Regimen variant #2 100/1200/80/1200",830,"Adjuvant therapy","2618"
"1135","3530.14381.1491.2618","SECRAB|MINDACT|NEAT|SECRAB|TACT|TACT2|NEAT|SECRAB|TACT2|MINDACT",3530,"E-CMF","14381","Regimen variant #3 100/1400/80/1200 (&quot;classic CMF&quot;)",1491,"Adjuvant therapy","2618"
"1136","961.63774.2.2618","DEVA",961,"E-D","63774","Protocol variant #1",2,"Adjuvant therapy","2618"
"1137","1840.63774.17.2618","HORG CT/01.04",1840,"E-D","63774","Protocol variant #2",17,"Adjuvant therapy","2618"
"1138","1891.29168.1.2618","IBCSG 13-93|IBCSG 15-95",1891,"EC-CMF","29168","normal",1,"Adjuvant therapy","2618"
"1139","928.20160.5.2618","DBCG 07-READ",928,"EC-D","20160","Protocol variant #1 3+3 cycles",5,"Adjuvant therapy","2618"
"1140","1515.20160.22.2618","GEICAM 2003-10",1515,"EC-D","20160","Protocol variant #2 4+4 cycles",22,"Adjuvant therapy","2618"
"1141","3659.29175.491.2618","SPECTRUM_brca",3659,"EC-T","29175","Regimen variant #1 75/600",491,"Adjuvant therapy","2618"
"1142","3825.29175.1268.2618","tAnGo|GIM2",3825,"EC-T","29175","Regimen variant #2 90/600",1268,"Adjuvant therapy","2618"
"1143","1411.14570.268.2618","FNCLCC PACS 01|SUCCESS-A|Sakr et al. 2013|UCBG 2-08|PANTHER|MINDACT",1411,"FEC-D","14570","Regimen variant #1 3 x 3",268,"Adjuvant therapy","2618"
"1144","3811.14570.1044.2618","TACT",3811,"FEC-D","14570","Regimen variant #2 4 x 4",1044,"Adjuvant therapy","2618"
"1145","1846.51853.1.2618","HORG CT/07.17",1846,"Dose-dense FEC-D","51853","normal",1,"Adjuvant therapy","2618"
"1146","1518.52328.1.2618","GEICAM 9906",1518,"FEC-P","52328","normal",1,"Adjuvant therapy","2618"
"1147","2587.73485.1.2618","MDACC ID01-580",2587,"T-FEC","73485","normal",1,"Adjuvant therapy","2618"
"1148","1381.19199.1.2618","FinXX",1381,"TX-CEX","19199","normal",1,"Adjuvant therapy","2618"
"1149","2923.3350.1.2618","NSABP B-40",2923,"Bevacizumab monotherapy","3350","normal",1,"Adjuvant therapy","2618"
"1150","3812.6323.305.2618","TACT2",3812,"Capecitabine monotherapy","6323","Regimen variant #1 4 cycles 2",305,"Adjuvant therapy","2618"
"1151","549.6323.1145.2618","CALGB 49907|CREATE-X",549,"Capecitabine monotherapy","6323","Regimen variant #2 6 to 8 cycles",1145,"Adjuvant therapy","2618"
"1152","3363.6134.444.2618","Ron et al. 2001",3363,"CMF","6134","Regimen variant #1 600/40/600 x 6",444,"Adjuvant therapy","2618"
"1153","2616.6134.1182.2618","Milan trial|DBCG 82b",2616,"CMF","6134","Regimen variant #2 600/40/600 x 8",1182,"Adjuvant therapy","2618"
"1154","2350.6134.1681.2618","Leonard et al. 2004",2350,"CMF","6134","Regimen variant #3 600/50/600 x 8",1681,"Adjuvant therapy","2618"
"1155","1214.6134.1942.2618","EORTC 09771",1214,"CMF","6134","Regimen variant #4 700/30/700 x 24",1942,"Adjuvant therapy","2618"
"1156","3690.6134.2083.2618","Stewart et al. 1993|BR9601|SECRAB|SECRAB|SECRAB",3690,"CMF","6134","Regimen variant #5 750/50/600 x 6-8 (&quot;Scottish Breast Group schedule&quot;)",2083,"Adjuvant therapy","2618"
"1157","1880.6134.2165.2618","Hubay et al. 1980",1880,"CMF","6134","Regimen variant #6 840/50/800",2165,"Adjuvant therapy","2618"
"1158","2253.6134.2191.2618","Kimura et al. 2009",2253,"CMF","6134","Regimen variant #7 1000/80/1000 x 6",2191,"Adjuvant therapy","2618"
"1159","4163.6134.2234.2618","Zander et al. 2004",4163,"CMF","6134","Regimen variant #8 1000/80/1200 x 3",2234,"Adjuvant therapy","2618"
"1160","4174.6134.2259.2618","ZEBRA|TABLE|ZEBRA",4174,"CMF","6134","Regimen variant #9 1000/80/1200 x 6",2259,"Adjuvant therapy","2618"
"1161","929.6134.729.2618","DBCG 77B",929,"CMF","6134","Regimen variant #10 1120/60/1000 x 12",729,"Adjuvant therapy","2618"
"1162","1875.6134.742.2618","Howell et al. 1984",1875,"CMF","6134","Regimen variant #11 1120/64/960 x 12",742,"Adjuvant therapy","2618"
"1163","1133.6134.751.2618","ECTO|ELDA|ELDA",1133,"CMF","6134","Regimen variant #12 1200/80/1200 x 4",751,"Adjuvant therapy","2618"
"1164","3529.6134.758.2618","SECRAB|ELDA|Ragaz et al. 1997|Coombes et al. 1996|ABCSG-07|NEAT|SECRAB|ELDA|Coombes et al. 1996|NEAT|SECRAB",3529,"CMF","6134","Regimen variant #13 1200/80/1200 x 6 (&quot;Classical&quot; IV)",758,"Adjuvant therapy","2618"
"1165","1215.6134.764.2618","EORTC 10792",1215,"CMF","6134","Regimen variant #14 1400/60/1200 x 12",764,"Adjuvant therapy","2618"
"1166","2937.6134.769.2618","NSAS BC-01",2937,"CMF","6134","Regimen variant #15 1400/80/1000 x 6",769,"Adjuvant therapy","2618"
"1167","1893.6134.773.2618","IBCSG VI|IBCSG VI",1893,"CMF","6134","Regimen variant #16 1400/80/1200 x 3",773,"Adjuvant therapy","2618"
"1168","3533.6134.776.2618","SECRAB|ZEBRA|Coombes et al. 1996|NEAT|SECRAB|IBCSG VI|Tancini et al. 1979|Coombes et al. 1996|IBCSG VI|Belgian trial|NCIC-CTG MA.5|Amadori et al. 2000|INT-0102|ZEBRA|NSABP B-23|NCRI ABC-CT|NEAT|SECRAB|CALGB 49907|Tancini et al. 1979",3533,"CMF","6134","Regimen variant #18 1400/80/1200 x 6",776,"Adjuvant therapy","2618"
"1169","3823.6134.777.2618","Tancini et al. 1979|Bonadonna et al. 1976|Tancini et al. 1979|OncoFrance|ECOG E5177",3823,"CMF","6134","Regimen variant #19 1400/80/1200 x 12",777,"Adjuvant therapy","2618"
"1170","930.6580.445.2618","DBCG 82C",930,"CMFT","6580","Regimen variant #1 600/40/600 x 9 30 x 12 mo",445,"Adjuvant therapy","2618"
"1171","3814.6580.1230.2618","Taiho 91023033",3814,"CMFT","6580","Regimen variant #2 780/80/1000 x 6 20 x 2 yr",1230,"Adjuvant therapy","2618"
"1172","1880.6580.1727.2618","Hubay et al. 1980",1880,"CMFT","6580","Regimen variant #3 840/50/800/40 x 12",1727,"Adjuvant therapy","2618"
"1173","582.6655.442.2618","CALGB 9741",582,"Dose-dense Cyclophosphamide monotherapy","6655","Regimen variant #1 600 mg/m2",442,"Adjuvant therapy","2618"
"1174","2150.6655.1254.2618","Kahan et al. 2005",2150,"Dose-dense Cyclophosphamide monotherapy","6655","Regimen variant #2 800 mg/m2",1254,"Adjuvant therapy","2618"
"1175","4003.6592.306.2618","USOR 9735|USOR 06-090|NSABP-46-I/USOR 07132|NSABP B-49",4003,"Cyclophosphamide and Docetaxel (TC)","6592","Regimen variant #1 4 cycles 3",306,"Adjuvant therapy","2618"
"1176","4121.6592.1131.2618","WSG PlanB|HORG CT/07.17|DBCG 07-READ|NSABP B-47",4121,"Cyclophosphamide and Docetaxel (TC)","6592","Regimen variant #2 6 cycles 3",1131,"Adjuvant therapy","2618"
"1177","2003.5770.399.2618","INT-0137",2003,"Cyclophosphamide and Doxorubicin (AC)","5770","Regimen variant #1 54/1200 x 6",399,"Adjuvant therapy","2618"
"1178","2914.5770.1174.2618","NSABP B-18|NSABP B-22|NSABP B-23|Icli et al. 2001|INT 0148/CALGB 9344|NSABP B-28|USOR 9735|ECOG E2197|RAPP-01|CALGB 49907|ECOG E5103",2914,"Cyclophosphamide and Doxorubicin (AC)","5770","Regimen variant #2 60/600 x 4",1174,"Adjuvant therapy","2618"
"1179","3796.5770.1722.2618","SWOG S9623",3796,"Cyclophosphamide and Doxorubicin (AC)","5770","Regimen variant #3 80/600 x 4",1722,"Adjuvant therapy","2618"
"1180","542.5887.439.2618","CALGB 40101|Burstein et al. 2005|NSABP B-38",542,"Dose-dense Cyclophosphamide and Doxorubicin (ddAC)","5887","Regimen variant #1 60/600 x 4",439,"Adjuvant therapy","2618"
