"","conditionCode","contextCode","regCode","variant","regCodeExt","regString","shortString"
"1076",114,44,1517,5,"114.44.1517.5","24.Cytarabine;2.Cytarabine;2.Cytarabine;24.Cytarabine;2.Cytarabine;2.Cytarabine;","24.Cytarabine;2.Cytarabine;2.Cytarabine;"
"1077",114,44,1518,1,"114.44.1518.1","31.Cytarabine;2.Cytarabine;2.Cytarabine;31.Cytarabine;2.Cytarabine;2.Cytarabine;","31.Cytarabine;2.Cytarabine;2.Cytarabine;"
"1078",114,44,1519,1,"114.44.1519.1","28.Azacitidine;28.Azacitidine;","28.Azacitidine;28.Azacitidine;"
"1081",114,44,1521,1,"114.44.1521.1","0.Fludarabine;1.Fludarabine;1.Fludarabine;1.Busulfan;0.Fludarabine;1.Busulfan;0.Fludarabine;","0.Fludarabine;1.Fludarabine;1.Fludarabine;1.Busulfan;0.Fludarabine;1.Busulfan;0.Fludarabine;"
"1083",114,44,1522,1,"114.44.1522.1","19.Clofarabine;0.Cytarabine;0.Idarubicin;1.Clofarabine;0.Cytarabine;0.Idarubicin;1.Clofarabine;0.Cytarabine;19.Clofarabine;0.Cytarabine;0.Idarubicin;1.Clofarabine;0.Cytarabine;0.Idarubicin;1.Clofarabine;0.Cytarabine;","19.Clofarabine;0.Cytarabine;0.Idarubicin;1.Clofarabine;0.Cytarabine;0.Idarubicin;1.Clofarabine;0.Cytarabine;"
"1086",114,44,1522,2,"114.44.1522.2","26.Clofarabine;0.Cytarabine;0.Idarubicin;1.Clofarabine;0.Cytarabine;0.Idarubicin;1.Clofarabine;0.Cytarabine;26.Clofarabine;0.Cytarabine;0.Idarubicin;1.Clofarabine;0.Cytarabine;0.Idarubicin;1.Clofarabine;0.Cytarabine;","26.Clofarabine;0.Cytarabine;0.Idarubicin;1.Clofarabine;0.Cytarabine;0.Idarubicin;1.Clofarabine;0.Cytarabine;"
"1089",114,44,1523,1,"114.44.1523.1","30.Cytarabine;1.Clofarabine;0.Cytarabine;1.Clofarabine;0.Cytarabine;1.Clofarabine;0.Cytarabine;1.Clofarabine;0.Cytarabine;1.Clofarabine;30.Cytarabine;1.Clofarabine;0.Cytarabine;1.Clofarabine;0.Cytarabine;1.Clofarabine;0.Cytarabine;1.Clofarabine;0.Cytarabine;1.Clofarabine;","30.Cytarabine;1.Clofarabine;0.Cytarabine;1.Clofarabine;0.Cytarabine;1.Clofarabine;0.Cytarabine;1.Clofarabine;0.Cytarabine;1.Clofarabine;"
"1091",114,44,1524,1,"114.44.1524.1","22.Clofarabine;0.Cytarabine;0.Decitabine;1.Clofarabine;0.Cytarabine;0.Decitabine;1.Clofarabine;0.Cytarabine;0.Decitabine;1.Cytarabine;0.Decitabine;1.Cytarabine;0.Decitabine;1.Cytarabine;1.Cytarabine;22.Clofarabine;0.Cytarabine;0.Decitabine;1.Clofarabine;0.Cytarabine;0.Decitabine;1.Clofarabine;0.Cytarabine;0.Decitabine;1.Cytarabine;0.Decitabine;1.Cytarabine;0.Decitabine;1.Cytarabine;1.Cytarabine;","22.Clofarabine;0.Cytarabine;0.Decitabine;1.Clofarabine;0.Cytarabine;0.Decitabine;1.Clofarabine;0.Cytarabine;0.Decitabine;1.Cytarabine;0.Decitabine;1.Cytarabine;0.Decitabine;1.Cytarabine;1.Cytarabine;"
"1094",114,44,1524,2,"114.44.1524.2","29.Clofarabine;0.Cytarabine;0.Decitabine;1.Clofarabine;0.Cytarabine;0.Decitabine;1.Clofarabine;0.Cytarabine;0.Decitabine;1.Cytarabine;0.Decitabine;1.Cytarabine;0.Decitabine;1.Cytarabine;1.Cytarabine;29.Clofarabine;0.Cytarabine;0.Decitabine;1.Clofarabine;0.Cytarabine;0.Decitabine;1.Clofarabine;0.Cytarabine;0.Decitabine;1.Cytarabine;0.Decitabine;1.Cytarabine;0.Decitabine;1.Cytarabine;1.Cytarabine;","29.Clofarabine;0.Cytarabine;0.Decitabine;1.Clofarabine;0.Cytarabine;0.Decitabine;1.Clofarabine;0.Cytarabine;0.Decitabine;1.Cytarabine;0.Decitabine;1.Cytarabine;0.Decitabine;1.Cytarabine;1.Cytarabine;"
"1097",114,44,1524,3,"114.44.1524.3","36.Clofarabine;0.Cytarabine;0.Decitabine;1.Clofarabine;0.Cytarabine;0.Decitabine;1.Clofarabine;0.Cytarabine;0.Decitabine;1.Cytarabine;0.Decitabine;1.Cytarabine;0.Decitabine;1.Cytarabine;1.Cytarabine;36.Clofarabine;0.Cytarabine;0.Decitabine;1.Clofarabine;0.Cytarabine;0.Decitabine;1.Clofarabine;0.Cytarabine;0.Decitabine;1.Cytarabine;0.Decitabine;1.Cytarabine;0.Decitabine;1.Cytarabine;1.Cytarabine;","36.Clofarabine;0.Cytarabine;0.Decitabine;1.Clofarabine;0.Cytarabine;0.Decitabine;1.Clofarabine;0.Cytarabine;0.Decitabine;1.Cytarabine;0.Decitabine;1.Cytarabine;0.Decitabine;1.Cytarabine;1.Cytarabine;"
"1100",114,44,1524,4,"114.44.1524.4","43.Clofarabine;0.Cytarabine;0.Decitabine;1.Clofarabine;0.Cytarabine;0.Decitabine;1.Clofarabine;0.Cytarabine;0.Decitabine;1.Cytarabine;0.Decitabine;1.Cytarabine;0.Decitabine;1.Cytarabine;1.Cytarabine;43.Clofarabine;0.Cytarabine;0.Decitabine;1.Clofarabine;0.Cytarabine;0.Decitabine;1.Clofarabine;0.Cytarabine;0.Decitabine;1.Cytarabine;0.Decitabine;1.Cytarabine;0.Decitabine;1.Cytarabine;1.Cytarabine;","43.Clofarabine;0.Cytarabine;0.Decitabine;1.Clofarabine;0.Cytarabine;0.Decitabine;1.Clofarabine;0.Cytarabine;0.Decitabine;1.Cytarabine;0.Decitabine;1.Cytarabine;0.Decitabine;1.Cytarabine;1.Cytarabine;"
"1103",114,44,1525,1,"114.44.1525.1","33.CPX-351;2.CPX-351;33.CPX-351;2.CPX-351;","33.CPX-351;2.CPX-351;"
"1104",114,44,1525,2,"114.44.1525.2","40.CPX-351;2.CPX-351;40.CPX-351;2.CPX-351;","40.CPX-351;2.CPX-351;"
"1105",114,44,1525,3,"114.44.1525.3","47.CPX-351;2.CPX-351;47.CPX-351;2.CPX-351;","47.CPX-351;2.CPX-351;"
"1106",114,44,1525,4,"114.44.1525.4","54.CPX-351;2.CPX-351;54.CPX-351;2.CPX-351;","54.CPX-351;2.CPX-351;"
"1107",114,44,1526,1,"114.44.1526.1","25.Cytarabine;0.Daunorubicin;1.Cytarabine;1.Cytarabine;1.Cytarabine;25.Cytarabine;0.Daunorubicin;1.Cytarabine;1.Cytarabine;1.Cytarabine;","25.Cytarabine;0.Daunorubicin;1.Cytarabine;1.Cytarabine;1.Cytarabine;"
"1109",114,44,1526,2,"114.44.1526.2","25.Cytarabine;0.Daunorubicin;1.Cytarabine;0.Daunorubicin;1.Cytarabine;1.Cytarabine;25.Cytarabine;0.Daunorubicin;1.Cytarabine;0.Daunorubicin;1.Cytarabine;1.Cytarabine;","25.Cytarabine;0.Daunorubicin;1.Cytarabine;0.Daunorubicin;1.Cytarabine;1.Cytarabine;"
"1111",114,44,1526,3,"114.44.1526.3","24.Cytarabine;0.Daunorubicin;1.Cytarabine;1.Cytarabine;1.Cytarabine;1.Cytarabine;24.Cytarabine;0.Daunorubicin;1.Cytarabine;1.Cytarabine;1.Cytarabine;1.Cytarabine;","24.Cytarabine;0.Daunorubicin;1.Cytarabine;1.Cytarabine;1.Cytarabine;1.Cytarabine;"
"1113",114,44,1527,1,"114.44.1527.1","25.Cytarabine;0.Daunorubicin;0.Gemtuzumabozogamicin;1.Cytarabine;1.Cytarabine;1.Cytarabine;25.Cytarabine;0.Daunorubicin;0.Gemtuzumabozogamicin;1.Cytarabine;1.Cytarabine;1.Cytarabine;","25.Cytarabine;0.Daunorubicin;0.Gemtuzumabozogamicin;1.Cytarabine;1.Cytarabine;1.Cytarabine;"
"1116",114,44,1527,2,"114.44.1527.2","25.Cytarabine;0.Daunorubicin;0.Gemtuzumabozogamicin;1.Cytarabine;0.Daunorubicin;1.Cytarabine;1.Cytarabine;25.Cytarabine;0.Daunorubicin;0.Gemtuzumabozogamicin;1.Cytarabine;0.Daunorubicin;1.Cytarabine;1.Cytarabine;","25.Cytarabine;0.Daunorubicin;0.Gemtuzumabozogamicin;1.Cytarabine;0.Daunorubicin;1.Cytarabine;1.Cytarabine;"
"1119",114,44,1528,1,"114.44.1528.1","2.Cytarabine;0.Etoposide;1.Cytarabine;0.Etoposide;1.Cytarabine;0.Etoposide;1.Cytarabine;1.Cytarabine;1.Cytarabine;2.Cytarabine;0.Etoposide;1.Cytarabine;0.Etoposide;1.Cytarabine;0.Etoposide;1.Cytarabine;1.Cytarabine;1.Cytarabine;","2.Cytarabine;0.Etoposide;1.Cytarabine;0.Etoposide;1.Cytarabine;0.Etoposide;1.Cytarabine;1.Cytarabine;1.Cytarabine;"
"1121",114,44,1529,1,"114.44.1529.1","24.Cytarabine;0.Idarubicin;1.Cytarabine;1.Cytarabine;1.Cytarabine;1.Cytarabine;24.Cytarabine;0.Idarubicin;1.Cytarabine;1.Cytarabine;1.Cytarabine;1.Cytarabine;","24.Cytarabine;0.Idarubicin;1.Cytarabine;1.Cytarabine;1.Cytarabine;1.Cytarabine;"
"1123",114,44,1530,1,"114.44.1530.1","1.Cytarabine;0.Idarubicin;0.Sorafenib;1.Idarubicin;0.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Cytarabine;0.Idarubicin;0.Sorafenib;1.Idarubicin;0.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;","1.Cytarabine;0.Idarubicin;0.Sorafenib;1.Idarubicin;0.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;"
"1126",114,44,1530,2,"114.44.1530.2","8.Cytarabine;0.Idarubicin;0.Sorafenib;1.Idarubicin;0.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;8.Cytarabine;0.Idarubicin;0.Sorafenib;1.Idarubicin;0.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;","8.Cytarabine;0.Idarubicin;0.Sorafenib;1.Idarubicin;0.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;"
"1129",114,44,1530,3,"114.44.1530.3","15.Cytarabine;0.Idarubicin;0.Sorafenib;1.Idarubicin;0.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;15.Cytarabine;0.Idarubicin;0.Sorafenib;1.Idarubicin;0.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;","15.Cytarabine;0.Idarubicin;0.Sorafenib;1.Idarubicin;0.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;"
"1132",114,44,1530,4,"114.44.1530.4","1.Cytarabine;0.Idarubicin;0.Sorafenib;1.Cytarabine;0.Idarubicin;0.Sorafenib;1.Cytarabine;0.Sorafenib;1.Cytarabine;0.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Cytarabine;0.Idarubicin;0.Sorafenib;1.Cytarabine;0.Idarubicin;0.Sorafenib;1.Cytarabine;0.Sorafenib;1.Cytarabine;0.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;","1.Cytarabine;0.Idarubicin;0.Sorafenib;1.Cytarabine;0.Idarubicin;0.Sorafenib;1.Cytarabine;0.Sorafenib;1.Cytarabine;0.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;"
"1135",114,44,1530,5,"114.44.1530.5","8.Cytarabine;0.Idarubicin;0.Sorafenib;1.Cytarabine;0.Idarubicin;0.Sorafenib;1.Cytarabine;0.Sorafenib;1.Cytarabine;0.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;8.Cytarabine;0.Idarubicin;0.Sorafenib;1.Cytarabine;0.Idarubicin;0.Sorafenib;1.Cytarabine;0.Sorafenib;1.Cytarabine;0.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;","8.Cytarabine;0.Idarubicin;0.Sorafenib;1.Cytarabine;0.Idarubicin;0.Sorafenib;1.Cytarabine;0.Sorafenib;1.Cytarabine;0.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;"
"1138",114,44,1530,6,"114.44.1530.6","15.Cytarabine;0.Idarubicin;0.Sorafenib;1.Cytarabine;0.Idarubicin;0.Sorafenib;1.Cytarabine;0.Sorafenib;1.Cytarabine;0.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;15.Cytarabine;0.Idarubicin;0.Sorafenib;1.Cytarabine;0.Idarubicin;0.Sorafenib;1.Cytarabine;0.Sorafenib;1.Cytarabine;0.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;","15.Cytarabine;0.Idarubicin;0.Sorafenib;1.Cytarabine;0.Idarubicin;0.Sorafenib;1.Cytarabine;0.Sorafenib;1.Cytarabine;0.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;1.Sorafenib;"
"1141",114,44,1531,1,"114.44.1531.1","0.Cyclophosphamide;1.Cyclophosphamide;","0.Cyclophosphamide;1.Cyclophosphamide;"
"1142",114,44,1532,1,"114.44.1532.1","0.Etoposide;0.Mitoxantrone;1.Etoposide;0.Mitoxantrone;1.Etoposide;0.Mitoxantrone;","0.Etoposide;0.Mitoxantrone;1.Etoposide;0.Mitoxantrone;1.Etoposide;0.Mitoxantrone;"
"1144",114,44,1532,2,"114.44.1532.2","0.Etoposide;0.Mitoxantrone;1.Etoposide;0.Mitoxantrone;1.Etoposide;0.Mitoxantrone;1.Etoposide;0.Mitoxantrone;1.Etoposide;0.Mitoxantrone;","0.Etoposide;0.Mitoxantrone;1.Etoposide;0.Mitoxantrone;1.Etoposide;0.Mitoxantrone;1.Etoposide;0.Mitoxantrone;1.Etoposide;0.Mitoxantrone;"
"1146",114,44,1533,1,"114.44.1533.1","0.Fludarabine;1.Fludarabine;1.Fludarabine;1.Fludarabine;","0.Fludarabine;1.Fludarabine;1.Fludarabine;1.Fludarabine;"
"1147",114,44,1533,2,"114.44.1533.2","0.Fludarabine;1.Fludarabine;1.Fludarabine;","0.Fludarabine;1.Fludarabine;1.Fludarabine;"
"1148",114,44,1534,1,"114.44.1534.1","0.Fludarabine;1.Fludarabine;1.Fludarabine;1.ATG(Rabbit);0.Busulfan;0.Fludarabine;1.ATG(Rabbit);0.Busulfan;0.Fludarabine;1.ATG(Rabbit);","0.Fludarabine;1.Fludarabine;1.Fludarabine;1.ATG(Rabbit);0.Busulfan;0.Fludarabine;1.ATG(Rabbit);0.Busulfan;0.Fludarabine;1.ATG(Rabbit);"
"1151",114,44,1535,1,"114.44.1535.1","0.Cytarabine;1.Cytarabine;1.Cytarabine;0.Mitoxantrone;1.Mitoxantrone;1.Mitoxantrone;","0.Cytarabine;1.Cytarabine;1.Cytarabine;0.Mitoxantrone;1.Mitoxantrone;1.Mitoxantrone;"
"1153",114,44,1536,1,"114.44.1536.1","0.Cytarabine;0.Idarubicin;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;78.Methotrexate;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Methotrexate;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;78.Cytarabine;0.Idarubicin;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;78.Methotrexate;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Methotrexate;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;78.Cytarabine;0.Idarubicin;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;78.Methotrexate;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Methotrexate;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;","0.Cytarabine;0.Idarubicin;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;78.Methotrexate;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Methotrexate;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;78.Cytarabine;0.Idarubicin;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;78.Methotrexate;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Methotrexate;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;78.Cytarabine;0.Idarubicin;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;78.Methotrexate;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Methotrexate;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;"
"1159",114,44,1536,2,"114.44.1536.2","0.Cytarabine;0.Idarubicin;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Norethandrolone;78.Methotrexate;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Methotrexate;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;78.Cytarabine;0.Idarubicin;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Norethandrolone;78.Methotrexate;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Methotrexate;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;78.Cytarabine;0.Idarubicin;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Norethandrolone;78.Methotrexate;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Methotrexate;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;","0.Cytarabine;0.Idarubicin;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Norethandrolone;78.Methotrexate;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Methotrexate;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;78.Cytarabine;0.Idarubicin;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Norethandrolone;78.Methotrexate;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Methotrexate;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;78.Cytarabine;0.Idarubicin;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Cytarabine;0.Norethandrolone;1.Norethandrolone;78.Methotrexate;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Methotrexate;0.Norethandrolone;1.Norethandrolone;1.Norethandrolone;1.Norethandrolone;"
"1165",114,65,1503,1,"114.65.1503.1","22.Azacitidine;1.Azacitidine;1.Azacitidine;1.Azacitidine;1.Azacitidine;1.Azacitidine;1.Azacitidine;22.Azacitidine;1.Azacitidine;1.Azacitidine;1.Azacitidine;1.Azacitidine;1.Azacitidine;1.Azacitidine;","22.Azacitidine;1.Azacitidine;1.Azacitidine;1.Azacitidine;1.Azacitidine;1.Azacitidine;1.Azacitidine;"
